component,pad,net
R62,1,EXPIO7
R62,2,VDD33
R43,2,VBAT
R43,1,NetC53_1
U7,1,NetR42_2
U7,2,GND
U7,3,NetR47_2
U7,4,NetR46_2
U7,5,ESP_3V3
U7,6,GND
R47,2,NetR47_2
R47,1,NetC47_1
TP1,1,NetC47_1
TP2,1,GND
R4,2,ESP_3V31
R4,1,GPIO2
R19,1,ESP_3V31
R19,2,CHIP_EN
C31,2,GND
C31,1,CHIP_EN
RF1,2,GND
RF1,2,GND
RF1,1,NetC15_1
C50,1,GND
C50,2,ESP_3V3
C49,1,GND
C49,2,ESP_3V3
C51,1,VSYS1
C51,2,GND
U6,1,VSYS1
U6,2,GND
U6,3,VSYS1
U6,4,
U6,5,ESP_3V3
C52,1,VSYS1
C52,2,GND
R48,2,ESP_3V3
R48,1,EXPIO4
Q9,1,EXPIO4
Q9,2,ESP_3V3
Q9,3,NetQ9_3
L7,2,VSYS
L7,1,NetC59_2
C62,2,GND
C62,1,VSYS1
Q13,1,NetQ13_1
Q13,2,GND
Q13,3,BAT_CE
C42,2,VDD33
C42,1,GND
C41,2,VDD33
C41,1,GND
L6,2,VDD33
L6,1,NetL6_1
U5,5,NetC44_1
U5,4,VSYS1
U5,3,NetL6_1
U5,2,GND
U5,1,NetQ9_3
R37,2,GND
R37,1,NetC44_1
R36,2,GND
R36,1,NetQ9_3
R34,2,NetC44_1
R34,1,VDD33
C39,1,GND
C39,2,VSYS1
C38,1,GND
C38,2,VSYS1
C44,2,VDD33
C44,1,NetC44_1
U9,6,NetC53_2
U9,5,NetC53_1
U9,4,
U9,3,NetC53_2
U9,2,GND
U9,1,NetR41_2
C53,2,NetC53_2
C53,1,NetC53_1
R41,1,GND
R41,2,NetR41_2
Q12,3,NetQ12_3
Q12,2,VDD33
Q12,1,EXPIO7
R61,2,NetQ13_1
R61,1,GND
R60,2,NetQ13_1
R60,1,NetQ12_3
C64,2,GND
C64,1,VBAT
C63,2,GND
C63,1,VBAT
C60,1,VSYS
C60,2,GND
C61,2,GND
C61,1,VSYS
R54,2,NetR54_2
R54,1,VSYS
R55,2,BAT_CE
R55,1,VSYS
R56,1,GND
R56,2,NetR56_2
R59,2,BAT_NTC
R59,1,GND
U10,1,VBUS
U10,2,
U10,3,NetR50_2
U10,4,NetR51_2
U10,5,ESP_I2C_SCL
U10,6,ESP_I2C_SDA
U10,7,NetR54_2
U10,8,
U10,9,BAT_CE
U10,10,NetR56_2
U10,11,BAT_NTC
U10,12,BAT_NTC
U10,13,VBAT
U10,14,VBAT
U10,15,VSYS
U10,16,VSYS
U10,17,GND
U10,18,GND
U10,19,NetC59_2
U10,20,NetC59_2
U10,21,NetC59_1
U10,22,REGN
U10,23,NetC57_1
U10,24,VBUS
U10,25,GND
C59,2,NetC59_2
C59,1,NetC59_1
R58,1,BAT_NTC
R58,2,REGN
R51,2,NetR51_2
R51,1,NetLED2_1
R50,2,NetR50_2
R50,1,NetLED1_1
C54,2,VBUS
C54,1,GND
C55,2,VBUS
C55,1,GND
C48,2,VBUS
C48,1,GND
C57,2,GND
C57,1,NetC57_1
C58,1,REGN
C58,2,GND
C40,2,VBUS
C40,1,GND
C43,2,VBUS
C43,1,GND
LED1,2,VSYS
LED1,1,NetLED1_1
LED2,1,NetLED2_1
LED2,2,VSYS
R39,1,GND
R39,2,NetR39_2
R38,1,GND
R38,2,NetR38_2
D1,1,VBUS
D1,2,GND
F1,2,VBUS
F1,1,NetF1_1
C56,2,ERTH
C56,1,GND
R45,2,ERTH
R45,1,GND
R21,2,ESP_I2C_SDA
R21,1,NetH1_3
R20,2,ESP_I2C_SCL
R20,1,NetH1_2
Q4,1,NetQ4_1
Q4,2,GND
Q4,3,NetQ4_3
R26,2,NetQ4_1
R26,1,GND
Q10,1,EXPIO2
Q10,2,VDD33
Q10,3,NetQ10_3
R49,1,EXPIO2
R49,2,VDD33
R25,2,NetQ4_1
R25,1,NetQ10_3
R24,2,NetQ4_3
R24,1,NetQ3_1
R22,2,NetQ3_1
R22,1,VDD33
Q3,1,NetQ3_1
Q3,2,VDD33
Q3,3,NetH1_1
Q14,1,EXPIO1
Q14,2,VDD33
Q14,3,NetQ14_3
R63,2,VDD33
R63,1,EXPIO1
D2,1,NetD2_1
D2,2,VSYS
Q7,1,NetQ7_1
Q7,2,GND
Q7,3,NetD2_1
R44,2,NetQ7_1
R44,1,GND
R40,2,NetQ7_1
R40,1,NetQ14_3
L4,2,NetC17_1
L4,1,NetC14_1
R27,2,VDD33
R27,1,EXPIO6
C18,2,GND
C18,1,NetC17_1
C17,2,GND
C17,1,NetC17_1
U2,1,ESP_I2C_SCL
U2,2,ESP_I2S_MCLK
U2,3,NetC17_1
U2,4,NetC17_1
U2,5,GND
U2,6,ESP_I2S_SCLK
U2,7,ESP_I2S_ASDOUT
U2,8,ESP_I2S_LRCK
U2,9,
U2,10,GND
U2,11,VDD33
U2,12,
U2,13,
U2,14,NetC10_2
U2,15,VMIC
U2,16,NetC8_2
U2,17,NetC21_2
U2,18,NetC20_2
U2,19,ESP_I2C_SDA
U2,20,NetR13_1
U2,21,GND
C20,2,NetC20_2
C20,1,NetC20_1
C21,2,NetC21_2
C21,1,NetC21_1
C8,2,NetC8_2
C8,1,GND
C12,2,VDD33
C12,1,GND
C13,2,VDD33
C13,1,GND
C10,2,NetC10_2
C10,1,GND
R29,2,GND
R29,1,SERVO_PWM
C9,2,VMIC
C9,1,GND
R64,2,VDD33
R64,1,EXPIO3
C36,2,GND
C36,1,NetC36_1
Q5,1,NetQ5_1
Q5,2,VSYS
Q5,3,NetC36_1
R28,2,NetQ5_1
R28,1,VSYS
R31,2,NetQ6_3
R31,1,NetQ5_1
Q6,1,NetQ6_1
Q6,2,GND
Q6,3,NetQ6_3
R33,2,NetQ6_1
R33,1,GND
R32,2,NetQ6_1
R32,1,SERVO_PEN
Q15,1,EXPIO3
Q15,2,VDD33
Q15,3,SERVO_PEN
L3,2,VMIC
L3,1,NetC22_2
C22,2,NetC22_2
C22,1,GND
MIC1,1,NetMIC1_1
MIC1,2,NetL5_2
MIC1,3,NetL5_2
MIC1,4,NetC22_2
L5,2,NetL5_2
L5,1,GND
R3,2,NetL5_2
R3,1,NetC21_1
R2,2,NetMIC1_1
R2,1,NetC20_1
R13,2,GND
R13,1,NetR13_1
C14,2,GND
C14,1,NetC14_1
Q1,1,NetQ1_1
Q1,2,VDD33
Q1,3,NetC14_1
Q2,1,NetQ2_1
Q2,2,GND
Q2,3,NetQ2_3
R15,2,NetQ2_1
R15,1,GND
R9,2,NetQ2_3
R9,1,NetQ1_1
R5,2,NetQ1_1
R5,1,VDD33
U3,5,GND
U3,4,GND
U3,3,VDD33
U3,2,ESP_I2C_SCL
U3,1,ESP_I2C_SDA
C34,2,GND
C34,1,VDD33
C35,2,GND
C35,1,VDD33
R12,2,NetQ2_1
R12,1,NetQ8_3
Q8,1,EXPIO6
Q8,2,VDD33
Q8,3,NetQ8_3
R46,2,NetR46_2
R46,1,ESP_3V3
C46,2,ESP_3V3
C46,1,GND
C45,2,ESP_3V3
C45,1,GND
R23,1,CHIP_EN
R23,2,NetC32_2
SW1,2,NetC32_2
SW1,1,GND
C32,2,NetC32_2
C32,1,GND
R35,2,ESP_3V3
R35,1,EXPIO5
R17,2,ESP_3V31
R17,1,ESP_I2C_SCL
U4,1,ESP_3V3
U4,2,GND
U4,3,GND
U4,4,GND
U4,5,GND
U4,6,EXPIO1
U4,7,EXPIO2
U4,8,EXPIO3
U4,9,GND
U4,10,EXPIO4
U4,11,EXPIO5
U4,12,EXPIO6
U4,13,EXPIO7
U4,14,GPIO2
U4,15,ESP_I2C_SCL
U4,16,ESP_I2C_SDA
U4,17,GND
C33,2,ESP_3V3
C33,1,GND
R16,2,ESP_3V31
R16,1,ESP_I2C_SDA
Q11,1,NetQ11_1
Q11,2,GND
Q11,3,NetQ11_3
R52,2,NetQ11_1
R52,1,GND
R53,2,NetQ11_1
R53,1,SERVO_PEN
C37,2,SERVO_ADC
C37,1,GND
R7,2,SERVO_ADC
R7,1,NetR7_1
C23,1,SERVO_ADC
C23,2,GND
R30,3,ESP_3V31
R30,2,SERVO_ADC
R30,1,NetQ11_3
R11,1,GPIO8
R11,2,ESP_3V31
R14,1,GPIO9
R14,2,ESP_3V31
R18,1,GND
R18,2,GPIO9
C28,2,GND
C28,1,VDD_SPI
R10,2,SPICS0
R10,1,VDD_SPI
R6,2,GPIO19
R6,1,USB_P
R1,1,NetC7_1
R1,2,NetR1_2
U1,33,GND
U1,32,ESP_3V31
U1,31,ESP_3V31
U1,29,NetC19_2
U1,28,SERVO_PWM
U1,27,ESP_I2S_MCLK
U1,26,GPIO19
U1,25,GPIO18
U1,24,
U1,23,
U1,22,
U1,21,SPICS0
U1,20,
U1,19,
U1,18,VDD_SPI
U1,17,ESP_3V31
U1,16,ESP_I2C_SCL
U1,15,GPIO9
U1,14,GPIO8
U1,13,ESP_I2C_SDA
U1,12,ESP_I2S_ASDOUT
U1,11,ESP_3V31
U1,10,ESP_I2S_LRCK
U1,9,ESP_I2S_SCLK
U1,8,NetR7_1
U1,7,CHIP_EN
U1,6,GPIO2
U1,5,GPIO1
U1,4,GPIO0
U1,3,ESP_3V31
U1,2,ESP_3V31
U1,1,NetC16_1
U1,30,NetR1_2
C7,2,GND
C7,1,NetC7_1
C16,2,GND
C16,1,NetC16_1
C15,2,GND
C15,1,NetC15_1
L2,2,NetC16_1
L2,1,NetC15_1
R8,1,USB_N
R8,2,GPIO18
C19,1,GND
C19,2,NetC19_2
R42,1,EXPIO5
R42,2,NetR42_2
C47,1,NetC47_1
C47,2,GND
X1,2,GND
X1,3,NetC19_2
X1,4,GND
X1,1,NetC7_1
CN3,1,NetC53_2
CN3,2,BAT_NTC
CN3,3,VBAT
H1,4,GND
H1,3,NetH1_3
H1,2,NetH1_2
H1,1,NetH1_1
U8,1,VSYS
U8,2,NetD2_1
CN2,1,SERVO_PWM
CN2,2,NetC36_1
CN2,3,GND
X2,1,GPIO0
X2,2,GPIO1
USBC1,2,ERTH
USBC1,1,ERTH
USBC1,4,ERTH
USBC1,3,ERTH
C1,1,ESP_3V31
C1,2,GND
SW2,4,
SW2,5,
SW2,5,
SW2,4,
SW2,3,VSYS1
SW2,2,VSYS
SW2,1,
C6,2,GND
C6,1,ESP_3V31
C4,2,GND
C4,1,ESP_3V3
C3,2,GND
C3,1,ESP_3V3
L1,1,ESP_3V3
L1,2,ESP_3V31
D5,1,GND
D5,2,USB_N
C26,2,GND
C26,1,USB_N
D4,1,GND
D4,2,USB_P
C25,2,GND
C25,1,USB_P
USBC1,B8,
USBC1,A5,NetR38_2
USBC1,B7,USB_N
USBC1,A6,USB_P
USBC1,A7,USB_N
USBC1,B6,USB_P
USBC1,A8,
USBC1,B5,NetR39_2
USBC1,A1B12,GND
USBC1,B1A12,GND
USBC1,B4A9,NetF1_1
USBC1,A4B9,NetF1_1
C30,2,GPIO0
C30,1,GND
C29,2,GPIO1
C29,1,GND
C2,2,GND
C2,1,ESP_3V3
C5,2,GND
C5,1,ESP_3V3
C24,2,GND
C24,1,ESP_3V31
C11,2,GND
C11,1,ESP_3V31
C27,2,GND
